this_week	last_week	end_2013	country	flag_url	name	player_url	avg_points	total_points	event_played_divisor	points_lost	points_gained	events_played_actual
103	104	272	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Stuart Appleby	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5294	1.4605	75.95	52	-23.62	66.28	62
104	105	212	USA	http://www.owgr.com/styles/img/flags/USA.png	Jerry Kelly	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5151	1.4535	71.22	49	-32.25	60.24	49
105	106	138	CAN	http://www.owgr.com/styles/img/flags/CAN.png	David Hearn	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7340	1.4495	75.37	52	-42.24	52.53	58
106	109	65	DEN	http://www.owgr.com/styles/img/flags/DEN.png	Thorbjorn Olesen	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13412	1.4441	75.09	52	-81.44	51.06	60
107	102	125	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Hennie Otto	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5942	1.4417	73.53	51	-36.06	41.78	51
108	107	54	USA	http://www.owgr.com/styles/img/flags/USA.png	Boo Weekley	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7403	1.4332	74.52	52	-66.43	23.65	55
109	110	106	USA	http://www.owgr.com/styles/img/flags/USA.png	Scott Stallings	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12359	1.4266	74.18	52	-61.88	62.67	58
110	118	172	FRA	http://www.owgr.com/styles/img/flags/FRA.png	Romain Wattel	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13165	1.4194	69.55	49	-36.45	54.44	49
111	112	292	COL	http://www.owgr.com/styles/img/flags/COL.png	Camilo Villegas	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9171	1.4110	73.37	52	-20.76	62.11	56
112	133	94	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Hideto Tanihara	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7046	1.4096	67.66	48	-41.81	31.90	48
113	111	93	ENG	http://www.owgr.com/styles/img/flags/ENG.png	David Howell	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5718	1.4084	73.24	52	-46.18	38.62	56
114	113	226	FRA	http://www.owgr.com/styles/img/flags/FRA.png	Alexander Levy	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14973	1.4023	72.92	52	-21.23	56.83	55
115	108	74	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Chris Wood	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12451	1.3972	68.46	49	-59.96	38.32	49
116	116	71	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Ross Fisher	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9396	1.3897	72.26	52	-57.29	36.00	58
117	121	288	USA	http://www.owgr.com/styles/img/flags/USA.png	Shawn Stefani	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14012	1.3766	64.70	47	-24.68	58.19	47
118	114	50	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Branden Grace	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11952	1.3754	71.52	52	-91.72	41.73	59
119	115	184	USA	http://www.owgr.com/styles/img/flags/USA.png	Brendan Steele	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11019	1.3734	71.42	52	-33.97	56.69	56
120	119	161	USA	http://www.owgr.com/styles/img/flags/USA.png	Jason Kokrak	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12337	1.3498	66.14	49	-38.05	47.12	49
121	117	276	SWE	http://www.owgr.com/styles/img/flags/SWE.png	Robert Karlsson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4331	1.3457	67.28	50	-22.07	57.37	50
122	120	342	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Steven Bowditch	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7053	1.3455	69.96	52	-20.92	64.64	63
123	122	317	USA	http://www.owgr.com/styles/img/flags/USA.png	Will Mackenzie	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7470	1.3383	69.59	52	-24.14	66.35	52
124	156	615	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Andrew Johnston	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14666	1.3164	52.66	40	-5.19	49.27	32
125	129	1074	USA	http://www.owgr.com/styles/img/flags/USA.png	Justin Thomas	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14139	1.2895	51.58	40	-5.15	54.78	30
126	123	99	USA	http://www.owgr.com/styles/img/flags/USA.png	John Huh	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14606	1.2889	67.02	52	-54.13	39.46	59
127	125	231	ENG	http://www.owgr.com/styles/img/flags/ENG.png	David Horsey	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11230	1.2693	63.47	50	-24.15	48.43	50
128	127	187	USA	http://www.owgr.com/styles/img/flags/USA.png	William McGirt	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12477	1.2616	65.60	52	-36.02	52.93	56
129	128	1508	MEX	http://www.owgr.com/styles/img/flags/MEX.png	Carlos Ortiz	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14735	1.2590	50.36	40	-5.79	56.15	21
130	124	461	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Hiroshi Iwata	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9099	1.2535	52.65	42	-10.05	47.99	42
131	126	70	USA	http://www.owgr.com/styles/img/flags/USA.png	Roberto Castro	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12643	1.2517	65.09	52	-52.65	24.20	64
132	130	159	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Thomas Aiken	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7679	1.2280	63.85	52	-47.53	54.37	56
133	143	115	SWE	http://www.owgr.com/styles/img/flags/SWE.png	David Lingmerth	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14815	1.2272	63.81	52	-49.58	40.68	58
134	136	63	USA	http://www.owgr.com/styles/img/flags/USA.png	Peter Uihlein	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11357	1.2254	63.72	52	-52.11	13.05	55
135	131	150	ESP	http://www.owgr.com/styles/img/flags/ESP.png	Alejandro Canizares	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11509	1.2216	59.86	49	-38.72	38.35	49
